station_id,external_id,name,short_name,lat,lon,rental_methods/0,rental_methods/1,capacity,electric_bike_surcharge_waiver,eightd_has_key_dispenser,eightd_station_services/0/id,eightd_station_services/0/service_type,eightd_station_services/0/bikes_availability,eightd_station_services/0/docks_availability,eightd_station_services/0/name,eightd_station_services/0/description,eightd_station_services/0/schedule_description,eightd_station_services/0/link_for_more_info,has_kiosk
107,0b10c672-08f3-11e7-a1cb-3863bb33a4e4,de Champlain / Ontario,6118,45.52510954917077,-73.56020584702492,CREDITCARD,KEY,19,false,false,,,,,,,,,true
108,0b10c7b5-08f3-11e7-a1cb-3863bb33a4e4,Ontario / de Lorimier,6119,45.52773089755533,-73.55753839015959,CREDITCARD,KEY,31,false,false,,,,,,,,,true
109,0b10ce21-08f3-11e7-a1cb-3863bb33a4e4,Métro Frontenac (Ontario / du Havre),6120,45.533705987798946,-73.55217933654784,CREDITCARD,KEY,23,false,false,,,,,,,,,true
110,0b10cf42-08f3-11e7-a1cb-3863bb33a4e4,du Havre / de Rouen,6121,45.53456256501449,-73.55478646466509,CREDITCARD,KEY,27,false,false,,,,,,,,,true
111,0b10d04a-08f3-11e7-a1cb-3863bb33a4e4,Logan / d'Iberville,6122,45.53057,-73.54913,CREDITCARD,KEY,15,false,false,,,,,,,,,true
112,0b10d150-08f3-11e7-a1cb-3863bb33a4e4,Alexandre-DeSève / la Fontaine,6123,45.52327641182773,-73.55821833014488,CREDITCARD,KEY,11,false,false,,,,,,,,,true
113,0b10d266-08f3-11e7-a1cb-3863bb33a4e4,Poupart / Ontario,6124,45.53193889278052,-73.55343863368034,CREDITCARD,KEY,27,false,false,,,,,,,,,true
114,0b10d370-08f3-11e7-a1cb-3863bb33a4e4,Ellendale / de la Côte-des-Neiges,6125,45.499757,-73.629298,CREDITCARD,KEY,27,false,false,,,,,,,,,true
115,0b10d842-08f3-11e7-a1cb-3863bb33a4e4,Fullum / de Rouen,6126,45.53213680524969,-73.55871319770813,CREDITCARD,KEY,23,false,false,,,,,,,,,true
116,0b10d956-08f3-11e7-a1cb-3863bb33a4e4,de Gaspé / Jean-Talon,6127,45.536582447959766,-73.61622512340546,CREDITCARD,KEY,15,false,false,,,,,,,,,true
117,0b10db49-08f3-11e7-a1cb-3863bb33a4e4,Hogan / Ontario,6128,45.535295480380306,-73.55116009712219,CREDITCARD,KEY,11,false,false,,,,,,,,,true
118,0b10dc80-08f3-11e7-a1cb-3863bb33a4e4,Sherbrooke / Frontenac,6130,45.5367,-73.56081,CREDITCARD,KEY,15,false,false,,,,,,,,,true
119,0b10dd95-08f3-11e7-a1cb-3863bb33a4e4,Fullum / Sherbrooke,6131,45.533924,-73.562425,CREDITCARD,KEY,31,false,false,,,,,,,,,true
120,0b10e3e7-08f3-11e7-a1cb-3863bb33a4e4,Chapleau / Terrasse Mercure,6133,45.53673838509649,-73.56516659259796,CREDITCARD,KEY,15,false,false,,,,,,,,,true
121,0b10e507-08f3-11e7-a1cb-3863bb33a4e4,de Bordeaux / Sherbrooke,6129,45.52997069129102,-73.56305301189423,CREDITCARD,KEY,15,false,false,,,,,,,,,true
122,0b10e60a-08f3-11e7-a1cb-3863bb33a4e4,Ste-Famille / Sherbrooke,6202,45.51007154847701,-73.57075229287146,CREDITCARD,KEY,23,false,false,,,,,,,,,true
123,0b10fc41-08f3-11e7-a1cb-3863bb33a4e4,University / Prince-Arthur,6047,45.507401678946415,-73.57844352722168,CREDITCARD,KEY,39,false,false,,,,,,,,,true
124,0b1102f9-08f3-11e7-a1cb-3863bb33a4e4,Hutchison / Prince-Arthur,6079,45.50975858607626,-73.57610732316971,CREDITCARD,KEY,23,false,false,,,,,,,,,true
125,0b110726-08f3-11e7-a1cb-3863bb33a4e4,William-Tremblay / Molson,6022,45.541719808901306,-73.56517732143402,CREDITCARD,KEY,23,false,false,,,,,,,,,true
126,0b1108eb-08f3-11e7-a1cb-3863bb33a4e4,Atwater / Sherbrooke,6093,45.4912258547597,-73.58763009309769,CREDITCARD,KEY,23,false,false,,,,,,,,,true
127,0b110a66-08f3-11e7-a1cb-3863bb33a4e4,Drolet / Beaubien,6913,45.533348,-73.605834,CREDITCARD,KEY,27,false,false,,,,,,,,,true
128,0b1111b6-08f3-11e7-a1cb-3863bb33a4e4,Alma / Beaubien,6915,45.53243586450861,-73.60665500164032,CREDITCARD,KEY,19,false,false,,,,,,,,,true
129,0b111347-08f3-11e7-a1cb-3863bb33a4e4,Parc du Pélican (2e avenue / St-Joseph),6916,45.544513,-73.571564,CREDITCARD,KEY,27,false,false,,,,,,,,,true
130,0b1115c4-08f3-11e7-a1cb-3863bb33a4e4,Garnier / des Carrières,6918,45.53755266430292,-73.58993947505951,CREDITCARD,KEY,31,false,false,,,,,,,,,true
131,0b111c93-08f3-11e7-a1cb-3863bb33a4e4,Marquette / Jean-Talon,6923,45.54740777921938,-73.60766887664795,CREDITCARD,KEY,15,false,false,,,,,,,,,true
132,0b111e08-08f3-11e7-a1cb-3863bb33a4e4,des Écores / Jean-Talon,6925,45.55236372328009,-73.60286772251129,CREDITCARD,KEY,15,false,false,,,,,,,,,true
133,0b111f7c-08f3-11e7-a1cb-3863bb33a4e4,Metcalfe / de Maisonneuve,6072,45.50171494932855,-73.57413053512573,CREDITCARD,KEY,23,false,false,,,,,,,,,true
134,0b1124b9-08f3-11e7-a1cb-3863bb33a4e4,University / des Pins,6075,45.50829509569767,-73.58064293861388,CREDITCARD,KEY,31,false,false,,,,,,,,,true
135,0b112724-08f3-11e7-a1cb-3863bb33a4e4,Bercy / Rachel,6134,45.53840340979245,-73.56196403503418,CREDITCARD,KEY,15,false,false,,,,,,,,,true
136,0b112dc7-08f3-11e7-a1cb-3863bb33a4e4,Larivière / de Lorimier,6132,45.5291345371163,-73.55923354625702,CREDITCARD,KEY,35,false,false,,,,,,,,,true
137,0b112f3f-08f3-11e7-a1cb-3863bb33a4e4,Métro Laurier (Rivard / Laurier),6136,45.52761627,-73.5891147,CREDITCARD,KEY,19,false,false,,,,,,,,,true
138,0b11347f-08f3-11e7-a1cb-3863bb33a4e4,Cartier / Gauthier,6137,45.53034708827074,-73.56698781251907,CREDITCARD,KEY,19,false,false,,,,,,,,,true
139,0b1135f2-08f3-11e7-a1cb-3863bb33a4e4,Gauthier / de Lorimier,6138,45.53167355364312,-73.56541335582732,CREDITCARD,KEY,15,false,false,,,,,,,,,true
140,0b113d5d-08f3-11e7-a1cb-3863bb33a4e4,Gauthier / Parthenais,6139,45.53292625574653,-73.56377989053726,CREDITCARD,KEY,15,false,false,,,,,,,,,true
141,0b1142a8-08f3-11e7-a1cb-3863bb33a4e4,Marquette / Rachel,6140,45.5298015824607,-73.5702896118164,CREDITCARD,KEY,15,false,false,,,,,,,,,true
142,0b1147d6-08f3-11e7-a1cb-3863bb33a4e4,des Érables / Rachel,6141,45.53354753725336,-73.5668671131134,CREDITCARD,KEY,19,false,false,,,,,,,,,true
143,0b114d1c-08f3-11e7-a1cb-3863bb33a4e4,Calixa-Lavallée / Rachel,6142,45.527794785525096,-73.57193917036057,CREDITCARD,KEY,31,false,false,,,,,,,,,true
